BookID,BookTitle,BorrowerName,DateBorrowed
62,Donec ut dolor.,Evangelia Abell,00:00.0
480,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum.",Shelton Ellar,00:00.0
618,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.,Farris Raspel,00:00.0
713,Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus.,Theda Ellesworth,00:00.0
709,"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",Hephzibah Winchcomb,00:00.0
682,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",Molly Potebury,00:00.0
612,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.,Putnem Deddum,00:00.0
614,Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio.,Merv Stains,00:00.0
583,Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,Tulley Raylton,00:00.0
598,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",Stormi Kleinbaum,00:00.0
453,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,Lesya McPhillips,00:00.0
300,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,Katleen Bedburrow,00:00.0
928,Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,Ernestus Dytham,00:00.0
941,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.",Marysa Clymo,00:00.0
962,Ut at dolor quis odio consequat varius.,Vivie Heckner,00:00.0
978,Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,Rolando Vogele,00:00.0
295,Donec dapibus. Duis at velit eu est congue elementum.,Corie Alty,00:00.0
339,In hac habitasse platea dictumst.,Mariana Harkness,00:00.0
418,Duis ac nibh.,Palmer Barnhart,00:00.0
379,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,Ernst Gooderham,00:00.0
100,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.",Micaela Dixcey,00:00.0
243,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",Maude Ramel,00:00.0
602,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",Heath Mackstead,00:00.0
567,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,Abbott Drysdell,00:00.0
639,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",Drusie Gronous,00:00.0
